provider,model,prompt,available,source_dir,wins,games,win_rate,total_points,avg_points,avg_rank,log_rows,game_start_samples,game_start_success_rate,game_start_latency_ms,game_start_prompt_tokens,game_start_completion_tokens,build_samples,build_success_rate,build_latency_ms,build_prompt_tokens,build_completion_tokens
poligpt,poligpt,strict_json,1,results/poligpt,24,24,1.0,245,10.21,1.0,82724,8912,0.544883,2455.81,450.92,142.44,73812,0.551929,3930.34,300.03,239.8
poligpt,poligpt,direct_short,1,results/poligpt,23,24,0.9583,238,9.92,1.04,421,48,1.0,7436.91,430.52,251.4,373,1.0,8432.04,275.17,277.65
poligpt,poligpt,guided_compact,1,results/poligpt,24,24,1.0,242,10.08,1.0,398,48,0.958333,9275.19,453.74,259.54,350,0.994286,12106.11,295.93,346.8
poligpt,qwen,strict_json,1,results/poligpt,24,24,1.0,244,10.17,1.0,501,48,1.0,5480.54,454.69,848.21,453,1.0,5448.48,238.23,862.74
poligpt,qwen,direct_short,1,results/poligpt,24,24,1.0,245,10.21,1.0,504,48,0.9375,7221.04,432.56,1132.29,456,1.0,6527.32,215.31,1036.05
poligpt,qwen,guided_compact,1,results/poligpt,24,24,1.0,247,10.29,1.0,557,48,0.916667,9203.43,450.07,1442.7,509,1.0,8467.53,237.29,1349.16
poligpt,phi4,strict_json,1,results/poligpt,0,24,0.0,92,3.83,2.96,1194,48,0.041667,847.82,360.0,25.0,1146,1.0,935.88,201.38,44.73
poligpt,phi4,direct_short,1,results/poligpt,0,24,0.0,48,2.0,3.62,850,48,0.0,0.0,0.0,0.0,802,1.0,810.37,207.31,34.43
poligpt,phi4,guided_compact,1,results/poligpt,0,24,0.0,48,2.0,3.62,850,48,0.0,0.0,0.0,0.0,802,1.0,867.84,227.31,46.85
ollama,llama3.2:3b,strict_json,1,results/ollama,0,24,0.0,60,2.5,3.38,1101,62,1.0,1537.62,410.48,25.61,1039,0.995188,1171.0,253.19,23.81
ollama,llama3.2:3b,direct_short,1,results/ollama,24,24,1.0,245,10.21,1.0,478,48,0.958333,1114.8,392.98,61.3,430,1.0,754.61,222.9,31.37
ollama,llama3.2:3b,guided_compact,1,results/ollama,0,24,0.0,48,2.0,3.58,854,48,1.0,747.86,410.29,25.08,806,1.0,731.69,255.83,28.71
ollama,gemma3:1b,strict_json,1,results/ollama,22,24,0.9167,240,10.0,1.08,491,48,0.979167,1280.76,470.49,32.09,443,0.424379,1112.02,265.39,35.23
ollama,gemma3:1b,direct_short,1,results/ollama,17,24,0.7083,205,8.54,1.42,889,48,1.0,1076.64,450.15,31.98,841,1.0,1069.41,253.11,37.9
ollama,gemma3:1b,guided_compact,1,results/ollama,0,24,0.0,48,2.0,3.67,1009,48,0.541667,1136.22,492.23,40.73,961,1.0,942.65,257.67,17.81
ollama,ministral-3:3b,strict_json,1,results/ollama,24,24,1.0,248,10.33,1.0,483,48,1.0,801.89,999.15,23.0,435,1.0,712.12,779.44,21.07
ollama,ministral-3:3b,direct_short,1,results/ollama,2,24,0.0833,108,4.5,2.75,937,48,1.0,1160.78,977.79,61.5,889,0.984252,1171.27,768.51,69.24
ollama,ministral-3:3b,guided_compact,1,results/ollama,5,24,0.2083,132,5.5,2.33,1130,48,0.0625,2064.39,1107.0,150.67,1082,0.844732,2197.41,782.92,172.15
bedrock,amazon.nova-lite-v1:0,strict_json,1,results/bedrock,24,24,1.0,246,10.25,1.0,501,48,1.0,559.06,455.27,31.31,453,1.0,536.7,233.57,31.43
bedrock,amazon.nova-lite-v1:0,direct_short,1,results/bedrock,23,24,0.9583,245,10.21,1.04,494,48,1.0,532.03,433.21,36.48,446,1.0,513.16,210.66,38.54
bedrock,amazon.nova-lite-v1:0,guided_compact,1,results/bedrock,24,24,1.0,252,10.5,1.0,503,48,1.0,584.47,453.06,41.12,455,1.0,540.84,232.37,48.24
bedrock,ai21.jamba-1-5-large-v1:0,strict_json,1,results/bedrock,24,24,1.0,244,10.17,1.0,506,48,1.0,1033.79,487.06,32.12,458,1.0,1079.22,266.01,36.95
bedrock,ai21.jamba-1-5-large-v1:0,direct_short,1,results/bedrock,24,24,1.0,244,10.17,1.0,500,48,1.0,1137.34,462.06,35.96,452,1.0,1255.16,241.22,43.17
bedrock,ai21.jamba-1-5-large-v1:0,guided_compact,1,results/bedrock,23,24,0.9583,246,10.25,1.04,498,48,1.0,1216.34,487.48,35.69,450,1.0,1176.84,265.43,36.48
bedrock,mistral.mistral-small-2402-v1:0,strict_json,1,results/bedrock,24,24,1.0,252,10.5,1.0,515,48,1.0,708.79,474.21,26.83,467,1.0,678.21,251.55,26.09
bedrock,mistral.mistral-small-2402-v1:0,direct_short,1,results/bedrock,24,24,1.0,246,10.25,1.0,516,48,1.0,1478.91,448.21,79.56,468,1.0,1908.48,226.09,111.48
bedrock,mistral.mistral-small-2402-v1:0,guided_compact,0,,,,,,,,,,,,,,,,,,
