benchmark,run_id,agent_name,provider,model,prompt,match_index,seed,position,seat,opponent_1,opponent_2,opponent_3,victory,points,rank,winner_player,winner_agent,rounds_played,last_turn,final_points_J0,final_points_J1,final_points_J2,final_points_J3,error
random,heuristic_random_01,HeuristicAgent,heuristic,,,2,12347,0,J0,RandomAgent,RandomAgent,RandomAgent,1,10,1,J0,HeuristicAgent,12,turn_P0,10,2,2,2,
random,heuristic_random_01,HeuristicAgent,heuristic,,,5,12350,0,J0,RandomAgent,RandomAgent,RandomAgent,1,10,1,J0,HeuristicAgent,16,turn_P0,10,3,2,2,
random,heuristic_random_01,HeuristicAgent,heuristic,,,4,12349,0,J0,RandomAgent,RandomAgent,RandomAgent,1,10,1,J0,HeuristicAgent,9,turn_P0,10,2,2,2,
random,heuristic_random_01,HeuristicAgent,heuristic,,,8,12353,0,J0,RandomAgent,RandomAgent,RandomAgent,1,10,1,J0,HeuristicAgent,11,turn_P0,10,3,2,3,
random,heuristic_random_01,HeuristicAgent,heuristic,,,1,12346,0,J0,RandomAgent,RandomAgent,RandomAgent,1,10,1,J0,HeuristicAgent,14,turn_P0,10,3,2,2,
random,heuristic_random_01,HeuristicAgent,heuristic,,,12,12357,0,J0,RandomAgent,RandomAgent,RandomAgent,1,10,1,J0,HeuristicAgent,11,turn_P0,10,2,2,2,
random,heuristic_random_01,HeuristicAgent,heuristic,,,3,12348,0,J0,RandomAgent,RandomAgent,RandomAgent,1,10,1,J0,HeuristicAgent,15,turn_P0,10,2,2,4,
random,heuristic_random_01,HeuristicAgent,heuristic,,,17,12362,0,J0,RandomAgent,RandomAgent,RandomAgent,1,10,1,J0,HeuristicAgent,13,turn_P0,10,3,3,3,
random,heuristic_random_01,HeuristicAgent,heuristic,,,15,12360,0,J0,RandomAgent,RandomAgent,RandomAgent,1,10,1,J0,HeuristicAgent,7,turn_P0,10,2,2,2,
random,heuristic_random_01,HeuristicAgent,heuristic,,,13,12358,0,J0,RandomAgent,RandomAgent,RandomAgent,1,10,1,J0,HeuristicAgent,13,turn_P0,10,4,2,4,
random,heuristic_random_01,HeuristicAgent,heuristic,,,6,12351,0,J0,RandomAgent,RandomAgent,RandomAgent,1,10,1,J0,HeuristicAgent,13,turn_P0,10,2,4,2,
random,heuristic_random_01,HeuristicAgent,heuristic,,,0,12345,0,J0,RandomAgent,RandomAgent,RandomAgent,1,10,1,J0,HeuristicAgent,18,turn_P0,10,2,3,2,
random,heuristic_random_01,HeuristicAgent,heuristic,,,7,12352,0,J0,RandomAgent,RandomAgent,RandomAgent,1,10,1,J0,HeuristicAgent,19,turn_P0,10,2,2,2,
random,heuristic_random_01,HeuristicAgent,heuristic,,,38,12383,0,J0,RandomAgent,RandomAgent,RandomAgent,1,12,1,J0,HeuristicAgent,9,turn_P0,12,2,2,3,
random,heuristic_random_01,HeuristicAgent,heuristic,,,31,12376,0,J0,RandomAgent,RandomAgent,RandomAgent,1,12,1,J0,HeuristicAgent,8,turn_P0,12,2,2,2,
random,heuristic_random_01,HeuristicAgent,heuristic,,,33,12378,0,J0,RandomAgent,RandomAgent,RandomAgent,1,11,1,J0,HeuristicAgent,15,turn_P0,11,2,2,2,
random,heuristic_random_01,HeuristicAgent,heuristic,,,10,12355,0,J0,RandomAgent,RandomAgent,RandomAgent,1,10,1,J0,HeuristicAgent,13,turn_P0,10,2,2,2,
random,heuristic_random_01,HeuristicAgent,heuristic,,,34,12379,0,J0,RandomAgent,RandomAgent,RandomAgent,1,10,1,J0,HeuristicAgent,12,turn_P0,10,2,2,2,
random,heuristic_random_01,HeuristicAgent,heuristic,,,26,12371,0,J0,RandomAgent,RandomAgent,RandomAgent,1,13,1,J0,HeuristicAgent,11,turn_P0,13,3,3,3,
random,heuristic_random_01,HeuristicAgent,heuristic,,,27,12372,0,J0,RandomAgent,RandomAgent,RandomAgent,1,10,1,J0,HeuristicAgent,13,turn_P0,10,2,2,2,
random,heuristic_random_01,HeuristicAgent,heuristic,,,44,12389,0,J0,RandomAgent,RandomAgent,RandomAgent,1,10,1,J0,HeuristicAgent,9,turn_P0,10,2,2,3,
random,heuristic_random_01,HeuristicAgent,heuristic,,,35,12380,0,J0,RandomAgent,RandomAgent,RandomAgent,1,11,1,J0,HeuristicAgent,13,turn_P0,11,2,2,2,
random,heuristic_random_01,HeuristicAgent,heuristic,,,47,12392,0,J0,RandomAgent,RandomAgent,RandomAgent,1,10,1,J0,HeuristicAgent,11,turn_P0,10,2,5,2,
random,heuristic_random_01,HeuristicAgent,heuristic,,,30,12375,0,J0,RandomAgent,RandomAgent,RandomAgent,1,10,1,J0,HeuristicAgent,12,turn_P0,10,2,2,2,
random,heuristic_random_01,HeuristicAgent,heuristic,,,48,12393,0,J0,RandomAgent,RandomAgent,RandomAgent,1,10,1,J0,HeuristicAgent,10,turn_P0,10,2,2,2,
random,heuristic_random_01,HeuristicAgent,heuristic,,,28,12373,0,J0,RandomAgent,RandomAgent,RandomAgent,1,10,1,J0,HeuristicAgent,15,turn_P0,10,3,2,2,
random,heuristic_random_01,HeuristicAgent,heuristic,,,21,12366,0,J0,RandomAgent,RandomAgent,RandomAgent,1,10,1,J0,HeuristicAgent,17,turn_P0,10,2,2,2,
random,heuristic_random_01,HeuristicAgent,heuristic,,,19,12364,0,J0,RandomAgent,RandomAgent,RandomAgent,1,10,1,J0,HeuristicAgent,14,turn_P0,10,3,2,2,
random,heuristic_random_01,HeuristicAgent,heuristic,,,18,12363,0,J0,RandomAgent,RandomAgent,RandomAgent,1,10,1,J0,HeuristicAgent,9,turn_P0,10,2,2,2,
random,heuristic_random_01,HeuristicAgent,heuristic,,,22,12367,0,J0,RandomAgent,RandomAgent,RandomAgent,1,10,1,J0,HeuristicAgent,12,turn_P0,10,2,2,2,
random,heuristic_random_01,HeuristicAgent,heuristic,,,29,12374,0,J0,RandomAgent,RandomAgent,RandomAgent,1,10,1,J0,HeuristicAgent,11,turn_P0,10,2,2,2,
random,heuristic_random_01,HeuristicAgent,heuristic,,,14,12359,0,J0,RandomAgent,RandomAgent,RandomAgent,1,10,1,J0,HeuristicAgent,15,turn_P0,10,4,2,4,
random,heuristic_random_01,HeuristicAgent,heuristic,,,45,12390,0,J0,RandomAgent,RandomAgent,RandomAgent,1,10,1,J0,HeuristicAgent,13,turn_P0,10,2,3,2,
random,heuristic_random_01,HeuristicAgent,heuristic,,,43,12388,0,J0,RandomAgent,RandomAgent,RandomAgent,1,10,1,J0,HeuristicAgent,12,turn_P0,10,2,3,2,
random,heuristic_random_01,HeuristicAgent,heuristic,,,24,12369,0,J0,RandomAgent,RandomAgent,RandomAgent,1,10,1,J0,HeuristicAgent,18,turn_P0,10,3,2,4,
random,heuristic_random_01,HeuristicAgent,heuristic,,,39,12384,0,J0,RandomAgent,RandomAgent,RandomAgent,1,11,1,J0,HeuristicAgent,19,turn_P0,11,3,2,2,
random,heuristic_random_01,HeuristicAgent,heuristic,,,25,12370,0,J0,RandomAgent,RandomAgent,RandomAgent,1,10,1,J0,HeuristicAgent,15,turn_P0,10,2,4,2,
random,heuristic_random_01,HeuristicAgent,heuristic,,,41,12386,0,J0,RandomAgent,RandomAgent,RandomAgent,1,11,1,J0,HeuristicAgent,17,turn_P0,11,3,2,2,
random,heuristic_random_01,HeuristicAgent,heuristic,,,16,12361,0,J0,RandomAgent,RandomAgent,RandomAgent,1,10,1,J0,HeuristicAgent,23,turn_P0,10,3,2,2,
random,heuristic_random_01,HeuristicAgent,heuristic,,,36,12381,0,J0,RandomAgent,RandomAgent,RandomAgent,1,10,1,J0,HeuristicAgent,11,turn_P0,10,3,3,3,
random,heuristic_random_01,HeuristicAgent,heuristic,,,11,12356,0,J0,RandomAgent,RandomAgent,RandomAgent,1,10,1,J0,HeuristicAgent,16,turn_P0,10,3,2,2,
random,heuristic_random_01,HeuristicAgent,heuristic,,,37,12382,0,J0,RandomAgent,RandomAgent,RandomAgent,1,10,1,J0,HeuristicAgent,16,turn_P0,10,2,2,5,
random,heuristic_random_01,HeuristicAgent,heuristic,,,9,12354,0,J0,RandomAgent,RandomAgent,RandomAgent,1,11,1,J0,HeuristicAgent,15,turn_P0,11,2,3,2,
random,heuristic_random_01,HeuristicAgent,heuristic,,,46,12391,0,J0,RandomAgent,RandomAgent,RandomAgent,1,10,1,J0,HeuristicAgent,23,turn_P0,10,4,2,2,
random,heuristic_random_01,HeuristicAgent,heuristic,,,23,12368,0,J0,RandomAgent,RandomAgent,RandomAgent,1,10,1,J0,HeuristicAgent,18,turn_P0,10,2,3,2,
random,heuristic_random_01,HeuristicAgent,heuristic,,,32,12377,0,J0,RandomAgent,RandomAgent,RandomAgent,1,10,1,J0,HeuristicAgent,19,turn_P0,10,3,2,3,
random,heuristic_random_01,HeuristicAgent,heuristic,,,20,12365,0,J0,RandomAgent,RandomAgent,RandomAgent,1,12,1,J0,HeuristicAgent,14,turn_P0,12,3,3,2,
random,heuristic_random_01,HeuristicAgent,heuristic,,,49,12394,0,J0,RandomAgent,RandomAgent,RandomAgent,1,10,1,J0,HeuristicAgent,6,turn_P0,10,2,2,2,
random,heuristic_random_01,HeuristicAgent,heuristic,,,40,12385,0,J0,RandomAgent,RandomAgent,RandomAgent,1,11,1,J0,HeuristicAgent,14,turn_P0,11,4,2,2,
random,heuristic_random_01,HeuristicAgent,heuristic,,,42,12387,0,J0,RandomAgent,RandomAgent,RandomAgent,1,10,1,J0,HeuristicAgent,15,turn_P0,10,3,4,2,
random,heuristic_random_01,HeuristicAgent,heuristic,,,1,112346,1,J1,RandomAgent,RandomAgent,RandomAgent,1,10,1,J1,HeuristicAgent,6,turn_P1,3,10,2,2,
random,heuristic_random_01,HeuristicAgent,heuristic,,,5,112350,1,J1,RandomAgent,RandomAgent,RandomAgent,1,10,1,J1,HeuristicAgent,14,turn_P1,3,10,2,2,
random,heuristic_random_01,HeuristicAgent,heuristic,,,2,112347,1,J1,RandomAgent,RandomAgent,RandomAgent,1,10,1,J1,HeuristicAgent,13,turn_P1,2,10,2,2,
random,heuristic_random_01,HeuristicAgent,heuristic,,,14,112359,1,J1,RandomAgent,RandomAgent,RandomAgent,1,10,1,J1,HeuristicAgent,11,turn_P1,2,10,2,2,
random,heuristic_random_01,HeuristicAgent,heuristic,,,22,112367,1,J1,RandomAgent,RandomAgent,RandomAgent,1,10,1,J1,HeuristicAgent,9,turn_P1,2,10,3,2,
random,heuristic_random_01,HeuristicAgent,heuristic,,,16,112361,1,J1,RandomAgent,RandomAgent,RandomAgent,1,10,1,J1,HeuristicAgent,9,turn_P1,2,10,3,2,
random,heuristic_random_01,HeuristicAgent,heuristic,,,13,112358,1,J1,RandomAgent,RandomAgent,RandomAgent,1,10,1,J1,HeuristicAgent,10,turn_P1,2,10,2,3,
random,heuristic_random_01,HeuristicAgent,heuristic,,,11,112356,1,J1,RandomAgent,RandomAgent,RandomAgent,1,12,1,J1,HeuristicAgent,9,turn_P1,2,12,2,2,
random,heuristic_random_01,HeuristicAgent,heuristic,,,15,112360,1,J1,RandomAgent,RandomAgent,RandomAgent,1,11,1,J1,HeuristicAgent,13,turn_P1,3,11,2,2,
random,heuristic_random_01,HeuristicAgent,heuristic,,,24,112369,1,J1,RandomAgent,RandomAgent,RandomAgent,1,10,1,J1,HeuristicAgent,16,turn_P1,3,10,2,2,
random,heuristic_random_01,HeuristicAgent,heuristic,,,45,112390,1,J1,RandomAgent,RandomAgent,RandomAgent,1,10,1,J1,HeuristicAgent,13,turn_P1,2,10,3,2,
random,heuristic_random_01,HeuristicAgent,heuristic,,,25,112370,1,J1,RandomAgent,RandomAgent,RandomAgent,1,10,1,J1,HeuristicAgent,23,turn_P1,2,10,3,2,
random,heuristic_random_01,HeuristicAgent,heuristic,,,18,112363,1,J1,RandomAgent,RandomAgent,RandomAgent,1,10,1,J1,HeuristicAgent,8,turn_P1,2,10,2,2,
random,heuristic_random_01,HeuristicAgent,heuristic,,,31,112376,1,J1,RandomAgent,RandomAgent,RandomAgent,1,10,1,J1,HeuristicAgent,11,turn_P1,2,10,3,2,
random,heuristic_random_01,HeuristicAgent,heuristic,,,35,112380,1,J1,RandomAgent,RandomAgent,RandomAgent,1,10,1,J1,HeuristicAgent,12,turn_P1,2,10,3,2,
random,heuristic_random_01,HeuristicAgent,heuristic,,,6,112351,1,J1,RandomAgent,RandomAgent,RandomAgent,1,10,1,J1,HeuristicAgent,13,turn_P1,4,10,4,3,
random,heuristic_random_01,HeuristicAgent,heuristic,,,30,112375,1,J1,RandomAgent,RandomAgent,RandomAgent,1,10,1,J1,HeuristicAgent,17,turn_P1,4,10,2,4,
random,heuristic_random_01,HeuristicAgent,heuristic,,,19,112364,1,J1,RandomAgent,RandomAgent,RandomAgent,1,10,1,J1,HeuristicAgent,14,turn_P1,3,10,2,2,
random,heuristic_random_01,HeuristicAgent,heuristic,,,3,112348,1,J1,RandomAgent,RandomAgent,RandomAgent,1,10,1,J1,HeuristicAgent,20,turn_P1,2,10,2,2,
random,heuristic_random_01,HeuristicAgent,heuristic,,,0,112345,1,J1,RandomAgent,RandomAgent,RandomAgent,1,10,1,J1,HeuristicAgent,18,turn_P1,2,10,2,2,
random,heuristic_random_01,HeuristicAgent,heuristic,,,8,112353,1,J1,RandomAgent,RandomAgent,RandomAgent,1,13,1,J1,HeuristicAgent,16,turn_P1,2,13,2,2,
random,heuristic_random_01,HeuristicAgent,heuristic,,,34,112379,1,J1,RandomAgent,RandomAgent,RandomAgent,1,10,1,J1,HeuristicAgent,19,turn_P1,2,10,2,3,
random,heuristic_random_01,HeuristicAgent,heuristic,,,23,112368,1,J1,RandomAgent,RandomAgent,RandomAgent,1,10,1,J1,HeuristicAgent,19,turn_P1,2,10,3,3,
random,heuristic_random_01,HeuristicAgent,heuristic,,,12,112357,1,J1,RandomAgent,RandomAgent,RandomAgent,1,10,1,J1,HeuristicAgent,17,turn_P1,2,10,2,2,
random,heuristic_random_01,HeuristicAgent,heuristic,,,4,112349,1,J1,RandomAgent,RandomAgent,RandomAgent,1,10,1,J1,HeuristicAgent,20,turn_P1,2,10,2,2,
random,heuristic_random_01,HeuristicAgent,heuristic,,,9,112354,1,J1,RandomAgent,RandomAgent,RandomAgent,1,12,1,J1,HeuristicAgent,19,turn_P1,3,12,2,3,
random,heuristic_random_01,HeuristicAgent,heuristic,,,33,112378,1,J1,RandomAgent,RandomAgent,RandomAgent,1,10,1,J1,HeuristicAgent,22,turn_P1,3,10,2,2,
random,heuristic_random_01,HeuristicAgent,heuristic,,,47,112392,1,J1,RandomAgent,RandomAgent,RandomAgent,1,11,1,J1,HeuristicAgent,10,turn_P1,3,11,2,2,
random,heuristic_random_01,HeuristicAgent,heuristic,,,46,112391,1,J1,RandomAgent,RandomAgent,RandomAgent,1,10,1,J1,HeuristicAgent,10,turn_P1,2,10,2,2,
random,heuristic_random_01,HeuristicAgent,heuristic,,,37,112382,1,J1,RandomAgent,RandomAgent,RandomAgent,1,10,1,J1,HeuristicAgent,17,turn_P1,2,10,2,3,
random,heuristic_random_01,HeuristicAgent,heuristic,,,17,112362,1,J1,RandomAgent,RandomAgent,RandomAgent,1,10,1,J1,HeuristicAgent,14,turn_P1,3,10,2,2,
random,heuristic_random_01,HeuristicAgent,heuristic,,,39,112384,1,J1,RandomAgent,RandomAgent,RandomAgent,1,10,1,J1,HeuristicAgent,13,turn_P1,2,10,2,2,
random,heuristic_random_01,HeuristicAgent,heuristic,,,49,112394,1,J1,RandomAgent,RandomAgent,RandomAgent,1,10,1,J1,HeuristicAgent,10,turn_P1,2,10,2,3,
random,heuristic_random_01,HeuristicAgent,heuristic,,,27,112372,1,J1,RandomAgent,RandomAgent,RandomAgent,1,10,1,J1,HeuristicAgent,14,turn_P1,2,10,2,3,
random,heuristic_random_01,HeuristicAgent,heuristic,,,43,112388,1,J1,RandomAgent,RandomAgent,RandomAgent,1,10,1,J1,HeuristicAgent,10,turn_P1,2,10,2,2,
random,heuristic_random_01,HeuristicAgent,heuristic,,,44,112389,1,J1,RandomAgent,RandomAgent,RandomAgent,1,10,1,J1,HeuristicAgent,13,turn_P1,4,10,2,2,
