benchmark,run_id,agent_name,provider,model,prompt,permutation_index,match_index,seed,position,seat,opponent_1,opponent_2,opponent_3,opponent_key,victory,points,rank,winner_player,winner_agent,rounds_played,last_turn,final_points_J0,final_points_J1,final_points_J2,final_points_J3,error
standard,ollama_llama3.2_3b_guided_compact_small_standard_01,HybridLLMAgent,ollama,ollama/llama3.2:3b,guided_compact,0,0,54321,0,J0,AdrianHerasAgent,CrabisaAgent,EdoAgent,AdrianHerasAgent|CrabisaAgent|EdoAgent,0,2,2,J2,CrabisaAgent,28,turn_P2,2,2,12,2,
standard,ollama_llama3.2_3b_guided_compact_small_standard_01,HybridLLMAgent,ollama,ollama/llama3.2:3b,guided_compact,0,0,154321,1,J1,AdrianHerasAgent,CrabisaAgent,EdoAgent,AdrianHerasAgent|CrabisaAgent|EdoAgent,0,2,4,J2,CrabisaAgent,21,turn_P2,3,2,10,5,
standard,ollama_llama3.2_3b_guided_compact_small_standard_01,HybridLLMAgent,ollama,ollama/llama3.2:3b,guided_compact,0,0,254321,2,J2,AdrianHerasAgent,CrabisaAgent,EdoAgent,AdrianHerasAgent|CrabisaAgent|EdoAgent,0,2,4,J0,AdrianHerasAgent,54,turn_P0,10,2,2,5,
standard,ollama_llama3.2_3b_guided_compact_small_standard_01,HybridLLMAgent,ollama,ollama/llama3.2:3b,guided_compact,0,0,354321,3,J3,AdrianHerasAgent,CrabisaAgent,EdoAgent,AdrianHerasAgent|CrabisaAgent|EdoAgent,0,2,4,J0,AdrianHerasAgent,66,turn_P0,10,2,2,2,
standard,ollama_llama3.2_3b_guided_compact_small_standard_01,HybridLLMAgent,ollama,ollama/llama3.2:3b,guided_compact,1,0,1054321,0,J0,AdrianHerasAgent,EdoAgent,CrabisaAgent,AdrianHerasAgent|EdoAgent|CrabisaAgent,0,2,4,J3,CrabisaAgent,17,turn_P3,2,4,4,10,
standard,ollama_llama3.2_3b_guided_compact_small_standard_01,HybridLLMAgent,ollama,ollama/llama3.2:3b,guided_compact,1,0,1154321,1,J1,AdrianHerasAgent,EdoAgent,CrabisaAgent,AdrianHerasAgent|EdoAgent|CrabisaAgent,0,2,3,J3,CrabisaAgent,20,turn_P3,2,2,2,10,
standard,ollama_llama3.2_3b_guided_compact_small_standard_01,HybridLLMAgent,ollama,ollama/llama3.2:3b,guided_compact,1,0,1254321,2,J2,AdrianHerasAgent,EdoAgent,CrabisaAgent,AdrianHerasAgent|EdoAgent|CrabisaAgent,0,2,4,J0,AdrianHerasAgent,128,turn_P0,10,2,2,4,
standard,ollama_llama3.2_3b_guided_compact_small_standard_01,HybridLLMAgent,ollama,ollama/llama3.2:3b,guided_compact,1,0,1354321,3,J3,AdrianHerasAgent,EdoAgent,CrabisaAgent,AdrianHerasAgent|EdoAgent|CrabisaAgent,0,2,4,J0,AdrianHerasAgent,79,turn_P0,10,2,4,2,
standard,ollama_llama3.2_3b_guided_compact_small_standard_01,HybridLLMAgent,ollama,ollama/llama3.2:3b,guided_compact,2,0,2054321,0,J0,CrabisaAgent,AdrianHerasAgent,EdoAgent,CrabisaAgent|AdrianHerasAgent|EdoAgent,0,2,3,J3,EdoAgent,75,turn_P3,2,2,6,10,
standard,ollama_llama3.2_3b_guided_compact_small_standard_01,HybridLLMAgent,ollama,ollama/llama3.2:3b,guided_compact,2,0,2154321,1,J1,CrabisaAgent,AdrianHerasAgent,EdoAgent,CrabisaAgent|AdrianHerasAgent|EdoAgent,0,2,4,J2,AdrianHerasAgent,40,turn_P2,2,2,10,6,
