benchmark,run_id,agent_name,provider,model,prompt,permutation_index,match_index,seed,position,seat,opponent_1,opponent_2,opponent_3,opponent_key,victory,points,rank,winner_player,winner_agent,rounds_played,last_turn,final_points_J0,final_points_J1,final_points_J2,final_points_J3,error
standard,ollama_llama3.2_3b_strict_json_small_standard_01,HybridLLMAgent,ollama,ollama/llama3.2:3b,strict_json,0,0,54321,0,J0,AdrianHerasAgent,CrabisaAgent,EdoAgent,AdrianHerasAgent|CrabisaAgent|EdoAgent,0,2,2,J2,CrabisaAgent,26,turn_P2,2,2,10,2,
standard,ollama_llama3.2_3b_strict_json_small_standard_01,HybridLLMAgent,ollama,ollama/llama3.2:3b,strict_json,0,0,154321,1,J1,AdrianHerasAgent,CrabisaAgent,EdoAgent,AdrianHerasAgent|CrabisaAgent|EdoAgent,0,2,4,J2,CrabisaAgent,21,turn_P2,3,2,10,5,
standard,ollama_llama3.2_3b_strict_json_small_standard_01,HybridLLMAgent,ollama,ollama/llama3.2:3b,strict_json,0,0,254321,2,J2,AdrianHerasAgent,CrabisaAgent,EdoAgent,AdrianHerasAgent|CrabisaAgent|EdoAgent,0,2,4,J1,CrabisaAgent,26,turn_P1,2,10,2,5,
standard,ollama_llama3.2_3b_strict_json_small_standard_01,HybridLLMAgent,ollama,ollama/llama3.2:3b,strict_json,0,0,354321,3,J3,AdrianHerasAgent,CrabisaAgent,EdoAgent,AdrianHerasAgent|CrabisaAgent|EdoAgent,0,2,4,J0,AdrianHerasAgent,66,turn_P0,10,2,2,2,
standard,ollama_llama3.2_3b_strict_json_small_standard_01,HybridLLMAgent,ollama,ollama/llama3.2:3b,strict_json,1,0,1054321,0,J0,AdrianHerasAgent,EdoAgent,CrabisaAgent,AdrianHerasAgent|EdoAgent|CrabisaAgent,0,2,4,J3,CrabisaAgent,17,turn_P3,2,4,4,10,
standard,ollama_llama3.2_3b_strict_json_small_standard_01,HybridLLMAgent,ollama,ollama/llama3.2:3b,strict_json,1,0,1154321,1,J1,AdrianHerasAgent,EdoAgent,CrabisaAgent,AdrianHerasAgent|EdoAgent|CrabisaAgent,0,2,3,J3,CrabisaAgent,20,turn_P3,2,2,2,10,
standard,ollama_llama3.2_3b_strict_json_small_standard_01,HybridLLMAgent,ollama,ollama/llama3.2:3b,strict_json,1,0,1254321,2,J2,AdrianHerasAgent,EdoAgent,CrabisaAgent,AdrianHerasAgent|EdoAgent|CrabisaAgent,0,3,3,J0,AdrianHerasAgent,86,turn_P0,10,2,3,4,
standard,ollama_llama3.2_3b_strict_json_small_standard_01,HybridLLMAgent,ollama,ollama/llama3.2:3b,strict_json,1,0,1354321,3,J3,AdrianHerasAgent,EdoAgent,CrabisaAgent,AdrianHerasAgent|EdoAgent|CrabisaAgent,0,2,4,J0,AdrianHerasAgent,36,turn_P0,10,3,2,2,
standard,ollama_llama3.2_3b_strict_json_small_standard_01,HybridLLMAgent,ollama,ollama/llama3.2:3b,strict_json,2,0,2054321,0,J0,CrabisaAgent,AdrianHerasAgent,EdoAgent,CrabisaAgent|AdrianHerasAgent|EdoAgent,0,2,3,J3,EdoAgent,75,turn_P3,2,2,6,10,
standard,ollama_llama3.2_3b_strict_json_small_standard_01,HybridLLMAgent,ollama,ollama/llama3.2:3b,strict_json,2,0,2154321,1,J1,CrabisaAgent,AdrianHerasAgent,EdoAgent,CrabisaAgent|AdrianHerasAgent|EdoAgent,0,2,4,J2,AdrianHerasAgent,40,turn_P2,2,2,10,6,
standard,ollama_llama3.2_3b_strict_json_small_standard_01,HybridLLMAgent,ollama,ollama/llama3.2:3b,strict_json,2,0,2254321,2,J2,CrabisaAgent,AdrianHerasAgent,EdoAgent,CrabisaAgent|AdrianHerasAgent|EdoAgent,0,8,2,J0,CrabisaAgent,74,turn_P0,10,4,8,2,
standard,ollama_llama3.2_3b_strict_json_small_standard_01,HybridLLMAgent,ollama,ollama/llama3.2:3b,strict_json,2,0,2354321,3,J3,CrabisaAgent,AdrianHerasAgent,EdoAgent,CrabisaAgent|AdrianHerasAgent|EdoAgent,0,2,4,J0,CrabisaAgent,39,turn_P0,10,4,2,2,
standard,ollama_llama3.2_3b_strict_json_small_standard_01,HybridLLMAgent,ollama,ollama/llama3.2:3b,strict_json,3,0,3054321,0,J0,CrabisaAgent,EdoAgent,AdrianHerasAgent,CrabisaAgent|EdoAgent|AdrianHerasAgent,0,4,2,J3,AdrianHerasAgent,28,turn_P3,4,4,4,10,
standard,ollama_llama3.2_3b_strict_json_small_standard_01,HybridLLMAgent,ollama,ollama/llama3.2:3b,strict_json,3,0,3154321,1,J1,CrabisaAgent,EdoAgent,AdrianHerasAgent,CrabisaAgent|EdoAgent|AdrianHerasAgent,0,2,4,J0,CrabisaAgent,47,turn_P0,10,2,9,4,
standard,ollama_llama3.2_3b_strict_json_small_standard_01,HybridLLMAgent,ollama,ollama/llama3.2:3b,strict_json,3,0,3254321,2,J2,CrabisaAgent,EdoAgent,AdrianHerasAgent,CrabisaAgent|EdoAgent|AdrianHerasAgent,0,2,4,J3,AdrianHerasAgent,199,turn_P3,5,4,2,6,
standard,ollama_llama3.2_3b_strict_json_small_standard_01,HybridLLMAgent,ollama,ollama/llama3.2:3b,strict_json,3,0,3354321,3,J3,CrabisaAgent,EdoAgent,AdrianHerasAgent,CrabisaAgent|EdoAgent|AdrianHerasAgent,0,2,4,J0,CrabisaAgent,33,turn_P0,10,5,2,2,
standard,ollama_llama3.2_3b_strict_json_small_standard_01,HybridLLMAgent,ollama,ollama/llama3.2:3b,strict_json,4,0,4054321,0,J0,EdoAgent,AdrianHerasAgent,CrabisaAgent,EdoAgent|AdrianHerasAgent|CrabisaAgent,0,2,3,J3,CrabisaAgent,40,turn_P3,2,3,2,10,
standard,ollama_llama3.2_3b_strict_json_small_standard_01,HybridLLMAgent,ollama,ollama/llama3.2:3b,strict_json,4,0,4154321,1,J1,EdoAgent,AdrianHerasAgent,CrabisaAgent,EdoAgent|AdrianHerasAgent|CrabisaAgent,0,3,4,J0,EdoAgent,178,turn_P0,10,3,4,4,
standard,ollama_llama3.2_3b_strict_json_small_standard_01,HybridLLMAgent,ollama,ollama/llama3.2:3b,strict_json,4,0,4254321,2,J2,EdoAgent,AdrianHerasAgent,CrabisaAgent,EdoAgent|AdrianHerasAgent|CrabisaAgent,0,3,2,J3,CrabisaAgent,58,turn_P3,2,2,3,10,
standard,ollama_llama3.2_3b_strict_json_small_standard_01,HybridLLMAgent,ollama,ollama/llama3.2:3b,strict_json,4,0,4354321,3,J3,EdoAgent,AdrianHerasAgent,CrabisaAgent,EdoAgent|AdrianHerasAgent|CrabisaAgent,0,2,4,J0,EdoAgent,70,turn_P0,10,4,4,2,
standard,ollama_llama3.2_3b_strict_json_small_standard_01,HybridLLMAgent,ollama,ollama/llama3.2:3b,strict_json,5,0,5054321,0,J0,EdoAgent,CrabisaAgent,AdrianHerasAgent,EdoAgent|CrabisaAgent|AdrianHerasAgent,0,2,3,J3,AdrianHerasAgent,29,turn_P3,2,5,2,10,
standard,ollama_llama3.2_3b_strict_json_small_standard_01,HybridLLMAgent,ollama,ollama/llama3.2:3b,strict_json,5,0,5154321,1,J1,EdoAgent,CrabisaAgent,AdrianHerasAgent,EdoAgent|CrabisaAgent|AdrianHerasAgent,0,2,3,J0,EdoAgent,30,turn_P0,10,2,4,2,
