benchmark,run_id,agent_name,provider,model,prompt,permutation_index,match_index,seed,position,seat,opponent_1,opponent_2,opponent_3,opponent_key,victory,points,rank,winner_player,winner_agent,rounds_played,last_turn,final_points_J0,final_points_J1,final_points_J2,final_points_J3,error
standard,ollama_ministral-3_3b_direct_short_small_standard_01,HybridLLMAgent,ollama,ollama/ministral-3:3b,direct_short,0,0,54321,0,J0,AdrianHerasAgent,CrabisaAgent,EdoAgent,AdrianHerasAgent|CrabisaAgent|EdoAgent,0,3,2,J2,CrabisaAgent,17,turn_P2,3,2,10,2,
standard,ollama_ministral-3_3b_direct_short_small_standard_01,HybridLLMAgent,ollama,ollama/ministral-3:3b,direct_short,0,0,154321,1,J1,AdrianHerasAgent,CrabisaAgent,EdoAgent,AdrianHerasAgent|CrabisaAgent|EdoAgent,0,3,3,J2,CrabisaAgent,16,turn_P2,3,3,10,3,
standard,ollama_ministral-3_3b_direct_short_small_standard_01,HybridLLMAgent,ollama,ollama/ministral-3:3b,direct_short,0,0,254321,2,J2,AdrianHerasAgent,CrabisaAgent,EdoAgent,AdrianHerasAgent|CrabisaAgent|EdoAgent,0,3,3,J1,CrabisaAgent,38,turn_P1,2,10,3,6,
standard,ollama_ministral-3_3b_direct_short_small_standard_01,HybridLLMAgent,ollama,ollama/ministral-3:3b,direct_short,0,0,354321,3,J3,AdrianHerasAgent,CrabisaAgent,EdoAgent,AdrianHerasAgent|CrabisaAgent|EdoAgent,0,7,2,J0,AdrianHerasAgent,96,turn_P0,10,4,2,7,
standard,ollama_ministral-3_3b_direct_short_small_standard_01,HybridLLMAgent,ollama,ollama/ministral-3:3b,direct_short,1,0,1054321,0,J0,AdrianHerasAgent,EdoAgent,CrabisaAgent,AdrianHerasAgent|EdoAgent|CrabisaAgent,0,5,2,J3,CrabisaAgent,24,turn_P3,5,4,4,10,
standard,ollama_ministral-3_3b_direct_short_small_standard_01,HybridLLMAgent,ollama,ollama/ministral-3:3b,direct_short,1,0,1154321,1,J1,AdrianHerasAgent,EdoAgent,CrabisaAgent,AdrianHerasAgent|EdoAgent|CrabisaAgent,0,4,2,J3,CrabisaAgent,14,turn_P3,3,4,2,10,
standard,ollama_ministral-3_3b_direct_short_small_standard_01,HybridLLMAgent,ollama,ollama/ministral-3:3b,direct_short,1,0,1254321,2,J2,AdrianHerasAgent,EdoAgent,CrabisaAgent,AdrianHerasAgent|EdoAgent|CrabisaAgent,0,5,2,J0,AdrianHerasAgent,109,turn_P0,10,2,5,4,
standard,ollama_ministral-3_3b_direct_short_small_standard_01,HybridLLMAgent,ollama,ollama/ministral-3:3b,direct_short,1,0,1354321,3,J3,AdrianHerasAgent,EdoAgent,CrabisaAgent,AdrianHerasAgent|EdoAgent|CrabisaAgent,0,3,4,J0,AdrianHerasAgent,197,turn_P0,10,4,4,3,
standard,ollama_ministral-3_3b_direct_short_small_standard_01,HybridLLMAgent,ollama,ollama/ministral-3:3b,direct_short,2,0,2054321,0,J0,CrabisaAgent,AdrianHerasAgent,EdoAgent,CrabisaAgent|AdrianHerasAgent|EdoAgent,0,5,3,J3,EdoAgent,104,turn_P3,5,2,6,10,
standard,ollama_ministral-3_3b_direct_short_small_standard_01,HybridLLMAgent,ollama,ollama/ministral-3:3b,direct_short,2,0,2154321,1,J1,CrabisaAgent,AdrianHerasAgent,EdoAgent,CrabisaAgent|AdrianHerasAgent|EdoAgent,0,3,4,J0,CrabisaAgent,28,turn_P0,10,3,6,6,
standard,ollama_ministral-3_3b_direct_short_small_standard_01,HybridLLMAgent,ollama,ollama/ministral-3:3b,direct_short,2,0,2254321,2,J2,CrabisaAgent,AdrianHerasAgent,EdoAgent,CrabisaAgent|AdrianHerasAgent|EdoAgent,0,5,2,J0,CrabisaAgent,66,turn_P0,10,4,5,2,
standard,ollama_ministral-3_3b_direct_short_small_standard_01,HybridLLMAgent,ollama,ollama/ministral-3:3b,direct_short,2,0,2354321,3,J3,CrabisaAgent,AdrianHerasAgent,EdoAgent,CrabisaAgent|AdrianHerasAgent|EdoAgent,0,3,4,J2,EdoAgent,102,turn_P2,6,4,10,3,
standard,ollama_ministral-3_3b_direct_short_small_standard_01,HybridLLMAgent,ollama,ollama/ministral-3:3b,direct_short,3,0,3054321,0,J0,CrabisaAgent,EdoAgent,AdrianHerasAgent,CrabisaAgent|EdoAgent|AdrianHerasAgent,0,5,2,J3,AdrianHerasAgent,37,turn_P3,5,4,4,10,
standard,ollama_ministral-3_3b_direct_short_small_standard_01,HybridLLMAgent,ollama,ollama/ministral-3:3b,direct_short,3,0,3154321,1,J1,CrabisaAgent,EdoAgent,AdrianHerasAgent,CrabisaAgent|EdoAgent|AdrianHerasAgent,0,3,4,J2,EdoAgent,69,turn_P2,7,3,10,6,
standard,ollama_ministral-3_3b_direct_short_small_standard_01,HybridLLMAgent,ollama,ollama/ministral-3:3b,direct_short,3,0,3254321,2,J2,CrabisaAgent,EdoAgent,AdrianHerasAgent,CrabisaAgent|EdoAgent|AdrianHerasAgent,0,3,4,J1,EdoAgent,65,turn_P1,6,10,3,6,
standard,ollama_ministral-3_3b_direct_short_small_standard_01,HybridLLMAgent,ollama,ollama/ministral-3:3b,direct_short,3,0,3354321,3,J3,CrabisaAgent,EdoAgent,AdrianHerasAgent,CrabisaAgent|EdoAgent|AdrianHerasAgent,0,5,3,J0,CrabisaAgent,53,turn_P0,10,6,2,5,
standard,ollama_ministral-3_3b_direct_short_small_standard_01,HybridLLMAgent,ollama,ollama/ministral-3:3b,direct_short,4,0,4054321,0,J0,EdoAgent,AdrianHerasAgent,CrabisaAgent,EdoAgent|AdrianHerasAgent|CrabisaAgent,0,3,4,J1,EdoAgent,35,turn_P1,3,10,4,5,
standard,ollama_ministral-3_3b_direct_short_small_standard_01,HybridLLMAgent,ollama,ollama/ministral-3:3b,direct_short,4,0,4154321,1,J1,EdoAgent,AdrianHerasAgent,CrabisaAgent,EdoAgent|AdrianHerasAgent|CrabisaAgent,1,10,1,J1,HybridLLMAgent,41,turn_P1,2,10,2,4,
standard,ollama_ministral-3_3b_direct_short_small_standard_01,HybridLLMAgent,ollama,ollama/ministral-3:3b,direct_short,4,0,4254321,2,J2,EdoAgent,AdrianHerasAgent,CrabisaAgent,EdoAgent|AdrianHerasAgent|CrabisaAgent,0,5,2,J3,CrabisaAgent,44,turn_P3,2,2,5,10,
standard,ollama_ministral-3_3b_direct_short_small_standard_01,HybridLLMAgent,ollama,ollama/ministral-3:3b,direct_short,4,0,4354321,3,J3,EdoAgent,AdrianHerasAgent,CrabisaAgent,EdoAgent|AdrianHerasAgent|CrabisaAgent,0,6,2,J0,EdoAgent,36,turn_P0,11,2,4,6,
standard,ollama_ministral-3_3b_direct_short_small_standard_01,HybridLLMAgent,ollama,ollama/ministral-3:3b,direct_short,5,0,5054321,0,J0,EdoAgent,CrabisaAgent,AdrianHerasAgent,EdoAgent|CrabisaAgent|AdrianHerasAgent,0,3,3,J3,AdrianHerasAgent,26,turn_P3,3,5,2,10,
standard,ollama_ministral-3_3b_direct_short_small_standard_01,HybridLLMAgent,ollama,ollama/ministral-3:3b,direct_short,5,0,5154321,1,J1,EdoAgent,CrabisaAgent,AdrianHerasAgent,EdoAgent|CrabisaAgent|AdrianHerasAgent,0,3,4,J0,EdoAgent,43,turn_P0,10,3,4,5,
