benchmark,run_id,agent_name,provider,model,prompt,permutation_index,match_index,seed,position,seat,opponent_1,opponent_2,opponent_3,opponent_key,victory,points,rank,winner_player,winner_agent,rounds_played,last_turn,final_points_J0,final_points_J1,final_points_J2,final_points_J3,error
standard,ollama_ministral-3_3b_guided_compact_small_standard_01,HybridLLMAgent,ollama,ollama/ministral-3:3b,guided_compact,0,0,54321,0,J0,AdrianHerasAgent,CrabisaAgent,EdoAgent,AdrianHerasAgent|CrabisaAgent|EdoAgent,0,2,2,J2,CrabisaAgent,41,turn_P2,2,2,10,2,
standard,ollama_ministral-3_3b_guided_compact_small_standard_01,HybridLLMAgent,ollama,ollama/ministral-3:3b,guided_compact,0,0,154321,1,J1,AdrianHerasAgent,CrabisaAgent,EdoAgent,AdrianHerasAgent|CrabisaAgent|EdoAgent,0,8,2,J2,CrabisaAgent,49,turn_P2,2,8,10,5,
standard,ollama_ministral-3_3b_guided_compact_small_standard_01,HybridLLMAgent,ollama,ollama/ministral-3:3b,guided_compact,0,0,254321,2,J2,AdrianHerasAgent,CrabisaAgent,EdoAgent,AdrianHerasAgent|CrabisaAgent|EdoAgent,1,10,1,J2,HybridLLMAgent,44,turn_P2,5,2,10,4,
standard,ollama_ministral-3_3b_guided_compact_small_standard_01,HybridLLMAgent,ollama,ollama/ministral-3:3b,guided_compact,0,0,354321,3,J3,AdrianHerasAgent,CrabisaAgent,EdoAgent,AdrianHerasAgent|CrabisaAgent|EdoAgent,1,10,1,J3,HybridLLMAgent,53,turn_P3,6,2,6,10,
standard,ollama_ministral-3_3b_guided_compact_small_standard_01,HybridLLMAgent,ollama,ollama/ministral-3:3b,guided_compact,1,0,1054321,0,J0,AdrianHerasAgent,EdoAgent,CrabisaAgent,AdrianHerasAgent|EdoAgent|CrabisaAgent,0,8,2,J3,CrabisaAgent,25,turn_P3,8,2,6,10,
standard,ollama_ministral-3_3b_guided_compact_small_standard_01,HybridLLMAgent,ollama,ollama/ministral-3:3b,guided_compact,1,0,1154321,1,J1,AdrianHerasAgent,EdoAgent,CrabisaAgent,AdrianHerasAgent|EdoAgent|CrabisaAgent,0,2,3,J3,CrabisaAgent,20,turn_P3,2,2,2,10,
standard,ollama_ministral-3_3b_guided_compact_small_standard_01,HybridLLMAgent,ollama,ollama/ministral-3:3b,guided_compact,1,0,1254321,2,J2,AdrianHerasAgent,EdoAgent,CrabisaAgent,AdrianHerasAgent|EdoAgent|CrabisaAgent,0,5,2,J0,AdrianHerasAgent,121,turn_P0,10,2,5,2,
standard,ollama_ministral-3_3b_guided_compact_small_standard_01,HybridLLMAgent,ollama,ollama/ministral-3:3b,guided_compact,1,0,1354321,3,J3,AdrianHerasAgent,EdoAgent,CrabisaAgent,AdrianHerasAgent|EdoAgent|CrabisaAgent,1,10,1,J3,HybridLLMAgent,41,turn_P3,3,5,4,10,
standard,ollama_ministral-3_3b_guided_compact_small_standard_01,HybridLLMAgent,ollama,ollama/ministral-3:3b,guided_compact,2,0,2054321,0,J0,CrabisaAgent,AdrianHerasAgent,EdoAgent,CrabisaAgent|AdrianHerasAgent|EdoAgent,0,2,3,J3,EdoAgent,25,turn_P3,2,2,6,10,
standard,ollama_ministral-3_3b_guided_compact_small_standard_01,HybridLLMAgent,ollama,ollama/ministral-3:3b,guided_compact,2,0,2154321,1,J1,CrabisaAgent,AdrianHerasAgent,EdoAgent,CrabisaAgent|AdrianHerasAgent|EdoAgent,0,8,2,J2,AdrianHerasAgent,61,turn_P2,2,8,10,5,
