benchmark,run_id,agent_name,provider,model,prompt,permutation_index,match_index,seed,position,seat,opponent_1,opponent_2,opponent_3,opponent_key,victory,points,rank,winner_player,winner_agent,rounds_played,last_turn,final_points_J0,final_points_J1,final_points_J2,final_points_J3,error
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,0,0,54321,0,J0,RandomAgent,AdrianHerasAgent,AlexPastorAgent,RandomAgent|AdrianHerasAgent|AlexPastorAgent,1,12,1,J0,HeuristicAgent,13,turn_P0,12,4,4,4,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,0,1,54322,0,J0,RandomAgent,AdrianHerasAgent,AlexPastorAgent,RandomAgent|AdrianHerasAgent|AlexPastorAgent,1,10,1,J0,HeuristicAgent,22,turn_P0,10,2,3,4,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,0,8,54329,0,J0,RandomAgent,AdrianHerasAgent,AlexPastorAgent,RandomAgent|AdrianHerasAgent|AlexPastorAgent,1,10,1,J0,HeuristicAgent,9,turn_P0,10,2,2,2,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,0,5,54326,0,J0,RandomAgent,AdrianHerasAgent,AlexPastorAgent,RandomAgent|AdrianHerasAgent|AlexPastorAgent,1,10,1,J0,HeuristicAgent,10,turn_P0,10,2,2,2,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,0,3,54324,0,J0,RandomAgent,AdrianHerasAgent,AlexPastorAgent,RandomAgent|AdrianHerasAgent|AlexPastorAgent,1,10,1,J0,HeuristicAgent,14,turn_P0,10,2,2,3,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,0,7,54328,0,J0,RandomAgent,AdrianHerasAgent,AlexPastorAgent,RandomAgent|AdrianHerasAgent|AlexPastorAgent,1,10,1,J0,HeuristicAgent,13,turn_P0,10,2,3,2,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,0,9,54330,0,J0,RandomAgent,AdrianHerasAgent,AlexPastorAgent,RandomAgent|AdrianHerasAgent|AlexPastorAgent,1,10,1,J0,HeuristicAgent,13,turn_P0,10,2,3,2,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,0,4,154325,1,J1,RandomAgent,AdrianHerasAgent,AlexPastorAgent,RandomAgent|AdrianHerasAgent|AlexPastorAgent,0,4,2,J2,AdrianHerasAgent,16,turn_P2,2,4,10,4,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,0,4,54325,0,J0,RandomAgent,AdrianHerasAgent,AlexPastorAgent,RandomAgent|AdrianHerasAgent|AlexPastorAgent,1,10,1,J0,HeuristicAgent,15,turn_P0,10,2,3,3,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,0,2,154323,1,J1,RandomAgent,AdrianHerasAgent,AlexPastorAgent,RandomAgent|AdrianHerasAgent|AlexPastorAgent,1,12,1,J1,HeuristicAgent,20,turn_P1,2,12,4,2,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,0,2,54323,0,J0,RandomAgent,AdrianHerasAgent,AlexPastorAgent,RandomAgent|AdrianHerasAgent|AlexPastorAgent,1,10,1,J0,HeuristicAgent,23,turn_P0,10,2,6,3,
