benchmark,run_id,agent_name,provider,model,prompt,match_index,seed,position,seat,opponent_1,opponent_2,opponent_3,victory,points,rank,winner_player,winner_agent,rounds_played,last_turn,final_points_J0,final_points_J1,final_points_J2,final_points_J3,error
random,poligpt_random_01,HybridLLMAgent,poligpt,openai/poligpt,strict_json,0,12345,0,J0,RandomAgent,RandomAgent,RandomAgent,1,10,1,J0,HybridLLMAgent,14,turn_P0,10,2,2,2,
random,poligpt_random_01,HybridLLMAgent,poligpt,openai/poligpt,strict_json,1,12346,0,J0,RandomAgent,RandomAgent,RandomAgent,1,10,1,J0,HybridLLMAgent,16,turn_P0,10,2,2,2,
random,poligpt_random_01,HybridLLMAgent,poligpt,openai/poligpt,strict_json,2,12347,0,J0,RandomAgent,RandomAgent,RandomAgent,1,10,1,J0,HybridLLMAgent,12,turn_P0,10,2,2,2,
random,poligpt_random_01,HybridLLMAgent,poligpt,openai/poligpt,strict_json,1,112346,1,J1,RandomAgent,RandomAgent,RandomAgent,1,10,1,J1,HybridLLMAgent,6,turn_P1,3,10,2,2,
random,poligpt_random_01,HybridLLMAgent,poligpt,openai/poligpt,strict_json,0,112345,1,J1,RandomAgent,RandomAgent,RandomAgent,1,10,1,J1,HybridLLMAgent,19,turn_P1,2,10,2,2,
random,poligpt_random_01,HybridLLMAgent,poligpt,openai/poligpt,strict_json,2,112347,1,J1,RandomAgent,RandomAgent,RandomAgent,1,10,1,J1,HybridLLMAgent,13,turn_P1,2,10,2,2,
random,poligpt_random_01,HybridLLMAgent,poligpt,openai/poligpt,strict_json,0,212345,2,J2,RandomAgent,RandomAgent,RandomAgent,1,10,1,J2,HybridLLMAgent,20,turn_P2,5,2,10,2,
random,poligpt_random_01,HybridLLMAgent,poligpt,openai/poligpt,strict_json,1,212346,2,J2,RandomAgent,RandomAgent,RandomAgent,1,10,1,J2,HybridLLMAgent,9,turn_P2,2,2,10,3,
random,poligpt_random_01,HybridLLMAgent,poligpt,openai/poligpt,strict_json,2,212347,2,J2,RandomAgent,RandomAgent,RandomAgent,1,10,1,J2,HybridLLMAgent,18,turn_P2,2,3,10,2,
random,poligpt_random_01,HybridLLMAgent,poligpt,openai/poligpt,strict_json,1,312346,3,J3,RandomAgent,RandomAgent,RandomAgent,1,10,1,J3,HybridLLMAgent,20,turn_P3,2,2,4,10,
random,poligpt_random_01,HybridLLMAgent,poligpt,openai/poligpt,strict_json,0,312345,3,J3,RandomAgent,RandomAgent,RandomAgent,1,10,1,J3,HybridLLMAgent,17,turn_P3,2,4,3,10,
random,poligpt_random_01,HybridLLMAgent,poligpt,openai/poligpt,strict_json,2,312347,3,J3,RandomAgent,RandomAgent,RandomAgent,1,10,1,J3,HybridLLMAgent,21,turn_P3,4,2,3,10,
