benchmark,run_id,agent_name,provider,model,prompt,permutation_index,match_index,seed,position,seat,opponent_1,opponent_2,opponent_3,opponent_key,victory,points,rank,winner_player,winner_agent,rounds_played,last_turn,final_points_J0,final_points_J1,final_points_J2,final_points_J3,error
standard,phi4_strict_json_small_standard_01,HybridLLMAgent,poligpt,openai/phi4,strict_json,0,0,54321,0,J0,AdrianHerasAgent,CrabisaAgent,EdoAgent,AdrianHerasAgent|CrabisaAgent|EdoAgent,0,4,3,J1,AdrianHerasAgent,18,turn_P1,4,10,6,3,
standard,phi4_strict_json_small_standard_01,HybridLLMAgent,poligpt,openai/phi4,strict_json,0,0,154321,1,J1,AdrianHerasAgent,CrabisaAgent,EdoAgent,AdrianHerasAgent|CrabisaAgent|EdoAgent,0,4,3,J3,EdoAgent,62,turn_P3,5,4,2,10,
standard,phi4_strict_json_small_standard_01,HybridLLMAgent,poligpt,openai/phi4,strict_json,0,0,254321,2,J2,AdrianHerasAgent,CrabisaAgent,EdoAgent,AdrianHerasAgent|CrabisaAgent|EdoAgent,0,4,2,J0,AdrianHerasAgent,89,turn_P0,10,2,4,4,
standard,phi4_strict_json_small_standard_01,HybridLLMAgent,poligpt,openai/phi4,strict_json,1,0,1054321,0,J0,AdrianHerasAgent,EdoAgent,CrabisaAgent,AdrianHerasAgent|EdoAgent|CrabisaAgent,0,2,4,J3,CrabisaAgent,17,turn_P3,2,4,4,10,
standard,phi4_strict_json_small_standard_01,HybridLLMAgent,poligpt,openai/phi4,strict_json,0,0,354321,3,J3,AdrianHerasAgent,CrabisaAgent,EdoAgent,AdrianHerasAgent|CrabisaAgent|EdoAgent,0,4,3,J0,AdrianHerasAgent,69,turn_P0,10,2,5,4,
standard,phi4_strict_json_small_standard_01,HybridLLMAgent,poligpt,openai/phi4,strict_json,1,0,1154321,1,J1,AdrianHerasAgent,EdoAgent,CrabisaAgent,AdrianHerasAgent|EdoAgent|CrabisaAgent,0,4,3,J3,CrabisaAgent,22,turn_P3,4,4,2,10,
standard,phi4_strict_json_small_standard_01,HybridLLMAgent,poligpt,openai/phi4,strict_json,1,0,1354321,3,J3,AdrianHerasAgent,EdoAgent,CrabisaAgent,AdrianHerasAgent|EdoAgent|CrabisaAgent,0,2,4,J0,AdrianHerasAgent,36,turn_P0,10,3,2,2,
standard,phi4_strict_json_small_standard_01,HybridLLMAgent,poligpt,openai/phi4,strict_json,1,0,1254321,2,J2,AdrianHerasAgent,EdoAgent,CrabisaAgent,AdrianHerasAgent|EdoAgent|CrabisaAgent,0,4,2,J0,AdrianHerasAgent,83,turn_P0,10,2,4,4,
standard,phi4_strict_json_small_standard_01,HybridLLMAgent,poligpt,openai/phi4,strict_json,2,0,2154321,1,J1,CrabisaAgent,AdrianHerasAgent,EdoAgent,CrabisaAgent|AdrianHerasAgent|EdoAgent,0,4,3,J2,AdrianHerasAgent,20,turn_P2,2,4,10,5,
standard,phi4_strict_json_small_standard_01,HybridLLMAgent,poligpt,openai/phi4,strict_json,2,0,2054321,0,J0,CrabisaAgent,AdrianHerasAgent,EdoAgent,CrabisaAgent|AdrianHerasAgent|EdoAgent,0,4,3,J3,EdoAgent,103,turn_P3,4,2,6,10,
